Hand_ID,Total_Bet,Total_Won,Net_Result,Total
RC3192596592,0.1,0.15000000000000002,0.05000000000000002,0.05
RC3192596544,0.05,0.0,-0.05,0.0
RC3192596312,0.45,0.0,-0.45,-0.45
RC3192596287,0.0,0.0,0.0,-0.45
RC3192596255,0.0,0.0,0.0,-0.45
RC3192596227,0.0,0.0,0.0,-0.45
RC3192596188,0.0,0.0,0.0,-0.45
RC3192596108,0.0,0.0,0.0,-0.45
RC3192596034,0.22,0.37,0.15,-0.3
RC3192595601,2.24,2.8600000000000003,0.6200000000000001,0.32
RC3192595576,0.05,0.0,-0.05,0.27
RC3192595228,0.39,0.64,0.25,0.52
RC3192595203,0.0,0.0,0.0,0.52
RC3192595178,0.0,0.0,0.0,0.52
RC3192594790,0.22,0.0,-0.22,0.3
RC3192554682,0.3,0.4,0.10000000000000003,0.4
RC3192554346,0.1,0.43,0.32999999999999996,0.73
RC3192554314,0.0,0.0,0.0,0.73
RC3192553983,0.15,0.0,-0.15,0.58
RC3192553957,0.0,0.0,0.0,0.58
RC3192553685,0.64,1.08,0.44000000000000006,1.02
RC3192553594,0.22,0.37,0.15,1.17
RC3192553514,0.05,0.0,-0.05,1.12
RC3192553483,0.0,0.0,0.0,1.12
RC3192553456,0.0,0.0,0.0,1.12
RC3192553428,0.0,0.0,0.0,1.12
RC3192553320,0.3,0.4,0.10000000000000003,1.22
RC3192553293,0.0,0.0,0.0,1.22
RC3192553252,0.1,0.0,-0.1,1.12
RC3192553225,0.0,0.0,0.0,1.12
RC3192553202,0.0,0.0,0.0,1.12
RC3192553042,0.2,0.0,-0.2,0.92
RC3192552985,0.0,0.0,0.0,0.92
RC3192552961,0.0,0.0,0.0,0.92
RC3192552929,0.05,0.0,-0.05,0.87
RC3192552890,0.0,0.0,0.0,0.87
RC3192552859,0.05,0.0,-0.05,0.82
RC3192552828,0.0,0.0,0.0,0.82
RC3192552769,0.1,0.15000000000000002,0.05000000000000002,0.87
RC3192552746,0.0,0.0,0.0,0.87
RC3192552500,2.7800000000000002,5.19,2.41,3.28
RC3192552471,0.0,0.0,0.0,3.28
RC3192552444,0.0,0.0,0.0,3.28
RC3192552420,0.0,0.0,0.0,3.28
RC3192552220,2.1399999999999997,2.78,0.6400000000000001,3.92
RC3192552196,0.0,0.0,0.0,3.92
RC3192552159,0.05,0.0,-0.05,3.87
RC3192552129,0.0,0.0,0.0,3.87
RC3192552003,0.22,0.37,0.15,4.02
RC3192551971,0.0,0.0,0.0,4.02
RC3192551943,0.0,0.0,0.0,4.02
RC3192551916,0.0,0.0,0.0,4.02
RC3192551855,0.1,0.0,-0.1,3.92
RC3192551777,0.25,0.4,0.15000000000000002,4.07
RC3192551749,0.0,0.0,0.0,4.07
RC3192551717,0.0,0.0,0.0,4.07
RC3192551570,0.3,0.4,0.10000000000000003,4.17
RC3192551485,0.3,0.4,0.10000000000000003,4.27
RC3192551427,0.1,0.15000000000000002,0.05000000000000002,4.32
RC3192551405,0.0,0.0,0.0,4.32
RC3192551379,0.0,0.0,0.0,4.32
RC3192551351,0.0,0.0,0.0,4.32
RC3192551322,0.0,0.0,0.0,4.32
RC3192551207,0.1,0.15000000000000002,0.05000000000000002,4.37
RC3192550951,0.53,0.7999999999999999,0.2699999999999999,4.64
RC3192550916,0.0,0.0,0.0,4.64
RC3192550893,0.05,0.0,-0.05,4.59
RC3192550844,0.1,0.0,-0.1,4.49
RC3192550813,0.0,0.0,0.0,4.49
RC3192550788,0.0,0.0,0.0,4.49
RC3192550766,0.0,0.0,0.0,4.49
RC3192550734,0.0,0.0,0.0,4.49
RC3192550704,0.0,0.0,0.0,4.49
RC3192550675,0.0,0.0,0.0,4.49
RC3192550645,0.05,0.0,-0.05,4.44
RC3192550619,0.0,0.0,0.0,4.44
RC3192550572,0.1,0.0,-0.1,4.34
